product_name,price,original_price,discount,category
Starlink Standard Actuated Kit,"KSh 45,500","KSh 90,000",49%,computing
128GB Metal Usb Flash Drive  3D Embossment,KSh 645,"KSh 1,044",38%,computing
RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 403,KSh 734,45%,computing
Qwen Aluminum Alloy Laptop Stand Computer Stand,KSh 560,"KSh 1,000",44%,computing
LED 2.4G Rechargeable Wireless Mouse,KSh 375,KSh 731,49%,computing
Qwen 64GB Flash Disks USB Flash Drive High Speed,KSh 699,"KSh 1,000",30%,computing
128 GB Metal  Usb Flash Drive  Adapter Cable  2 In 1 Set,KSh 690,KSh 910,24%,computing
Bluetooth + 2.4G Wireless Dual-mode LED Rechargeable Mouse,KSh 337,KSh 680,50%,computing
RichRipple Aluminum Alloy Portable Laptop Stand Adjustable Height Foldable Computer Stand,KSh 519,KSh 999,48%,computing
Men's Chest Bags Waterproof Casual Waist Bags Short Trip Travel Carry Bag,KSh 447,KSh 710,37%,computing
Qwen 64Gb Memory Card High Speed Compatible for Mobile Phone,KSh 699,"KSh 1,000",30%,computing
HP Flash Disk With Clip - 64GB - Silver,KSh 795,"KSh 1,400",43%,computing
tenda N300 300 Mbps Wireless WiFi Router,"KSh 1,700","KSh 3,000",43%,computing
Qwen USB Flash Drive Flash Disks 64GB High Speed,KSh 699,"KSh 1,000",30%,computing
Foldable Portable Laptop Stand With Mobile Phone Stand 2 In 1,KSh 760,"KSh 1,490",49%,computing
UWY 128GB Pendrive Flash  Drive Metal High Speed,KSh 590,"KSh 1,100",46%,computing
Wireless RGB Rechargeable Wireless Computer Mouse For Laptop PC Matte Black,KSh 373,KSh 899,58%,computing
Portable ALUMINIUM ALLOY Fold-able Computer Support Laptop Stand,KSh 555,"KSh 1,200",54%,computing
World Map Pattern Mouse Pad 80*30cm Soft Rubber,KSh 384,KSh 710,46%,computing
10inch Wireless Bluetooth Keyboard+Mouse 7 Colors Backlit Rechargeable Keyboard,"KSh 1,250","KSh 2,387",48%,computing
Portable Laptop Riser Stand Foldable Desktop Laptop Holder With 8 Levels Height,KSh 799,"KSh 1,503",47%,computing
RichRipple Portable Plastic Laptop Stand 10-hole Adjustable Foldable Ipad Computer Stand,KSh 365,KSh 642,43%,computing
Ultra-thin Wireless Mouse 2.4G Rechargeable,KSh 450,KSh 741,39%,computing
Ultra-thin Rechargeable Wireless Mouse - 2.4G - Black,KSh 192,KSh 400,52%,computing
Wireless 2.4G Mouse Rechargeable 5.2 Bluetooth Silent Mouse,KSh 789,"KSh 1,438",45%,computing
128G Mini High Speed U Disk 128GB GUN Color High Speed Compact USB Flash Disk,KSh 630,"KSh 1,000",37%,computing
300Mbps WiFi Repeater WiFi Signal Range Extender WiFi Boost,"KSh 1,251","KSh 2,189",43%,computing
Men's Chest Bags Waterproof Casual Waist Bags Short Trip Travel Carry Bag,KSh 404,KSh 712,43%,computing
Annov USB 64GB Flash Drive Metal +Earphone,KSh 588,KSh 689,15%,computing
"Stand, Laptop Holder Riser Computer Stand, Adjustable Aluminum Foldable Portable Notebook Stand",KSh 535,KSh 900,41%,computing
Qwen 128GB Flash Disks USB Flash Drive High Speed,"KSh 1,200","KSh 1,800",33%,computing
300Mbps WiFi Wireless Repeater Wireless-N 802.11 AP Range Extender Mini Router,KSh 987,"KSh 2,500",61%,computing
"HP Refurbished ProBook 640 G1 Core I5, 8GB RAM, 500GB HDD, Windows 10, 6 Months WRTY","KSh 18,400","KSh 28,999",37%,computing
Qwen USB Flash Drive  Flash Disk-32GB  Silver,KSh 600,"KSh 1,000",40%,computing
2.4G Wireless Gaming Mouse RGB Rechargeable Mice Silent Mouse,KSh 712,"KSh 1,249",43%,computing
RichRipple 320GB External Hard Disk USB3.0 High-speed Portable Mobile Computing Hard Drive,"KSh 1,827","KSh 3,490",48%,computing
128 GB OTG Usb Flash Drive  Adapter Type C 3 Units In 1 Set,KSh 875,"KSh 1,215",28%,computing
"HP Chromebook 11 G6 EE, Intel Celeron Dual N3350 , Storage 4GB RAM/16GB SSD, TYPE C, WIFI, Bluetooth, Camera , Chrome OS,  Black Refurb (6 M WRTY)","KSh 8,256","KSh 16,799",51%,computing
"Samsung Chromebook 4 &ndash; Intel Celeron N4000 - 11.6"" HD Storage 4 GB RAM - 32GB SSD &ndash; Bluetooth &ndash; Camera - Chrome OS - Refurb, 6M WRTY","KSh 10,599","KSh 15,999",34%,computing
"DELL Latitude 7280 6th Gen-Core I5-8GB Ram-256GB SSD-Refurbished- 13""-Black-Win 10 (6months WRTY)","KSh 18,999","KSh 28,000",32%,computing
Qwen Portable Laptop Holder Aluminum Alloy Fold Able Computer Stand,KSh 560,"KSh 1,000",44%,computing
Tisa Nyota Men Oxford Laptop Backpack Back School Bags-Black,"KSh 1,400","KSh 2,000",30%,computing
2.5 External Hard Disk Drive Casing With Cable,KSh 487,KSh 900,46%,computing
Qwen Memory Card 64Gb High Speed C10,KSh 630,KSh 800,21%,computing
Vertical Wireless Mouse Game Mouse,KSh 722,"KSh 1,346",46%,computing
Anti Theft Laptop Bag  Travel Backpack Black,"KSh 1,299","KSh 1,950",33%,computing
HP V250W 32 GB Flash Disk Drive +  OTG CABLE,KSh 639,"KSh 1,170",45%,computing
tenda N300 300 Mbps Wireless WiFi Router,"KSh 2,154","KSh 2,500",14%,computing
HDMI To VGA Computer Cable Converter Adapter,KSh 515,KSh 876,41%,computing
"HP Refurbished Elitebook 840 Core I5, Slim Model , 8GB RAM 500GB HDD -14"", Black","KSh 21,500","KSh 35,000",39%,computing
Laptop Interface Expander Mini Usb3.0 Hub One Tow Four Type-c Docking Station,KSh 279,KSh 548,49%,computing
Qwen Mini Wireless Mouse  & Keyboard Combo -Black,"KSh 1,240","KSh 2,000",38%,computing
Bluetooth + 2.4G Wireless Dual-mode LED Rechargeable Mouse,KSh 317,KSh 600,47%,computing
"HP Chromebook 11 G5 11.6"" - Intel Celeron N3060 &ndash; Storage 4GB RAM &ndash; 16GB SSD EMMC - HDMI- HD Camera- Chrome OS - Refurb (6M WRTY)","KSh 8,256","KSh 16,999",51%,computing
Wired Gaming Mouse USB Rechargeable Colorful RGB Mouse,KSh 390,KSh 731,47%,computing
"HP Refurbished EliteBook RAM 8GB HDD 500GB Core I5 14"" Windows, Office Basic Software Installed","KSh 18,999","KSh 25,000",24%,computing
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 24,997","KSh 32,000",22%,computing
Starlink Ethernet Adapter For Wired External Network (1YR WRTY),"KSh 10,273","KSh 15,000",32%,computing
Foldable Adjustable Portable ABS+silicone Desk Laptop Holder Stand,KSh 800,"KSh 1,200",33%,computing
VGA To HDMI Converter Adapter CableWithAudioOutput,KSh 660,"KSh 1,300",49%,computing
RichRipple 12inch LCD Writing Tablet Graphic Digital Handwriting Pads Multicolor Screen,KSh 615,"KSh 1,199",49%,computing
1.8M HDMI To VGA Cable,KSh 757,"KSh 1,500",50%,computing
Qwen Wireless Mouse Rechargeable Slient Mouse 2.4GHz,KSh 460,KSh 800,43%,computing
"Lenovo Refurbished ThinkPad Yoga 11e X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black (6 Months WRTY)","KSh 12,000","KSh 22,500",47%,computing
USB Bluetooth Adapter Bluetooth Receiver Bluetooth Dongle,KSh 467,KSh 900,48%,computing
Bluetooth + 2.4G Wireless Dual-mode LED Rechargeable Mouse,KSh 327,KSh 600,46%,computing
Wireless Mouse & Keyboard Combo -White,"KSh 1,327","KSh 2,800",53%,computing
Mouse Pad 80 * 30 CM Keyboard Mat Gaming Mouse Pad Thick Non-Slip Keyboard Mat.,KSh 649,KSh 850,24%,computing
Sandisk 16gb 32gb 64gb 128gb OTG USB Flash Disk,"KSh 825 - KSh 2,150","KSh 1,500 - KSh 2,900",47%,computing
Advance Original  64GB/ 32GB / 16GB /  8GB Flash Disk,KSh 480 - KSh 800,"KSh 900 - KSh 1,400",50%,computing
Foldable Aluminum Laptop Stand Desktop Laptop Holder Laptop Stand-black,KSh 600,"KSh 1,000",40%,computing
300M WiFi Wireless WiFi Repeater WiFi Range Extender,"KSh 1,050","KSh 2,250",53%,computing
Mouse Pad Relieve Stress Comfy EVA Wrist Support-Black,KSh 195,KSh 293,33%,computing
Seagate Laptop internal  500gb Harddisk Slim Laptop HDD Hard Disk.,"KSh 1,478","KSh 3,500",58%,computing
Bluetooth + 2.4G Wireless Dual-mode LED Rechargeable Mouse,KSh 327,KSh 600,46%,computing
"X Tigi HeroBook 10.1""- Android - Quad Core-3Gb RAM-64Gb ROM- 4000mAh-12 Months Warranty","KSh 9,999","KSh 19,588",49%,computing
RichRipple Wired Wood Desktop Speakers Bass Stereo Subwoofer Sound Box Computer Speakers,KSh 979,"KSh 1,561",37%,computing
"HP Refurbished Elitebook 840 Core I5, Slim Model , 8GB RAM 500GB HDD -14"", Black (6M WRTY)","KSh 17,999","KSh 29,999",40%,computing
Darkhorsir 64GB Metallic High Speed USB Flash Drive/Disk-B With Free Mouse Pad,KSh 599,"KSh 1,106",46%,computing
Mouse Mat PC Wrist Rest Support,KSh 288,KSh 399,28%,computing
Portable Wired USB Mouse,KSh 404,KSh 480,16%,computing
"HP EliteBook 820 G3 Intel Core I5 8GB-256GB SSD 6th Gen Refurbished Silver-13"" Windows 10 Pro 64bit Office Activated","KSh 21,999","KSh 30,000",27%,computing
